10.1073/pnas.2012658118,33526664,PMC8017695,Area-specific thalamocortical synchronization underlies the transition from motor planning to execution.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8017695/,PMC,,
10.1093/cercor/bhaa228,32995860,PMC8179633,Bidirectional Interaction of Hippocampal Ripples and Cortical Slow Waves Leads to Coordinated Spiking Activity During NREM Sleep.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8179633/,PMC,,
10.1002/ejp.1996,35762263,,Pharmacological inactivation of the primate posterior insular/secondary somatosensory cortices attenuates thermal hyperalgesia.,https://doi.org/10.1002/ejp.1996,Wiley,,
10.1289/ehp11774,36102794,PMC9472781,Invited Perspective: The Relevance of Animal Models of Domoic Acid Neurotoxicity to Human Health.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9472781/,PMC,,
10.3390/ijms24109083,37240428,PMC10219092,Connecting Circuits with Networks in Addiction Neuroscience: A Salience Network Perspective.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10219092/,PMC,,
10.7554/elife.72534,35593765,PMC9122499,Mapping brain-wide excitatory projectome of primate prefrontal cortex at submicron resolution and comparison with diffusion tractography.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9122499/,PMC,,
10.3390/v13071387,34372593,PMC8310113,Retrograde Transgene Expression via Neuron-Specific Lentiviral Vector Depends on Both Species and Input Projections.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8310113/,PMC,,
10.3389/fncir.2021.632668,33603649,PMC7884447,"A Closer Look at Corticothalamic ""Loops"".",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7884447/,PMC,,
10.1038/s41586-021-03953-x,34599305,PMC9018119,Regulation of prefrontal patterning and connectivity by retinoic acid.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9018119/,PMC,,
10.1523/jneurosci.0229-22.2022,35794012,PMC9374131,Chemogenetic Disconnection between the Orbitofrontal Cortex and the Rostromedial Caudate Nucleus Disrupts Motivational Control of Goal-Directed Action.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9374131/,PMC,,
10.3389/fnmol.2019.00167,31333412,PMC6616498,Considering the Evidence for Anterior and Laterodorsal Thalamic Nuclei as Higher Order Relays to Cortex.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6616498/,PMC,,
10.1007/s11682-020-00357-9,32960419,PMC8608281,"MRI-based Parcellation and Morphometry of the Individual Rhesus Monkey Brain: the macaque Harvard-Oxford Atlas (mHOA), a translational system referencing a standardized ontology.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8608281/,PMC,,
10.1002/cne.25188,33978232,PMC8920750,Mapping reward mechanisms by intracerebral self-stimulation in the rhesus monkey (Macaca mulatta).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8920750/,PMC,,
10.3389/fneur.2022.757757,35242095,PMC8886146,Cadaveric White Matter Dissection Study of the Telencephalic Flexure: Surgical Implications.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8886146/,PMC,,
10.1038/s41386-021-01109-z,34400783,PMC8617307,"The prefrontal cortex, pathological anxiety, and anxiety disorders.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8617307/,PMC,,
10.1016/j.neuroimage.2022.119096,35304264,PMC9227740,Subiculum-BNST structural connectivity in humans and macaques.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9227740/,PMC,,
10.1007/s00429-019-01937-2,31422483,,Group I metabotropic glutamate receptors in the primate motor thalamus: subsynaptic association with cortical and sub-cortical glutamatergic afferents.,https://dx.doi.org/10.1007/s00429-019-01937-2,Springer,,
10.1289/ehp10923,36102641,PMC9472675,"Prolonged, Low-Level Exposure to the Marine Toxin, Domoic Acid, and Measures of Neurotoxicity in Nonhuman Primates.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9472675/,PMC,,
