INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK
113	6	0	0	16	6	0	2	0
114	4	0	0	16	4	8	11	19
115	8	2	4	27	17	0	2	29
116	2	0	0	17	8	4	12	24
117	6	1	1	20	0	0	3	7
118	6	0	0	6	0	0	2	0
119	NA	NA	NA	NA	NA	NA	NA	NA
120	8	6	21	31	8	0	19	15
121	2	0	1	12	9	1	3	26
122	3	0	6	16	3	1	2	4
123	2	0	0	35	0	0	0	2
124	4	0	2	26	0	2	4	14
126	14	0	10	20	12	2	6	19
127	6	0	4	35	14	0	4	24
128	2	0	2	16	4	6	14	9
129	0	0	0	31	12	0	0	12
130	4	12	0	24	0	2	2	18
131	8	2	0	20	0	6	0	0
132	4	5	0	23	0	0	0	4
134	4	0	0	20	2	14	16	9
135	11	3	0	22	0	0	0	0
136	4	0	0	25	3	10	4	22
137	2	0	0	8	21	2	4	23
139	2	0	1	6	5	1	4	5
140	11	0	0	33	14	0	0	23
141	3	0	0	20	2	0	0	7
142	12	0	8	21	0	6	37	26
143	9	0	5	21	29	0	16	21
145	4	0	4	11	13	0	0	25
146	2	2	0	34	4	0	0	26
147	2	0	4	29	5	8	16	18
148	6	0	0	10	12	0	5	27
149	4	0	0	28	6	0	0	4
150	4	0	0	10	0	10	6	18
151	4	6	11	19	9	2	6	11
152	2	0	0	16	4	2	4	9
153	0	1	4	6	9	0	0	16
154	10	0	0	18	0	0	0	30
155	4	1	2	7	6	0	6	5
156	2	0	1	24	5	6	6	6
157	15	0	0	18	14	0	4	22
159	8	0	0	6	9	0	0	0
160	4	0	0	14	7	0	0	0
161	6	0	0	19	3	9	60	11
162	0	2	5	62	21	0	0	9
163	0	0	3	37	11	0	0	17
164	5	0	0	13	14	5	10	14
165	3	1	0	19	0	0	2	14
166	0	0	11	11	3	0	0	9
167	2	0	0	16	12	0	4	12
168	3	0	3	3	18	0	0	5
169	11	0	0	8	0	5	3	33
170	NA	NA	NA	NA	NA	NA	NA	NA
171	5	0	0	29	0	9	36	14
172	6	0	3	5	10	0	2	22
173	4	0	0	10	21	2	2	20
174	NA	NA	NA	NA	NA	NA	NA	NA
175	3	0	0	19	0	0	6	0
176	2	0	0	24	0	2	22	13
177	NA	NA	NA	NA	NA	NA	NA	NA
178	2	0	0	15	0	0	4	16
179	13	0	0	17	0	0	0	0
180	0	2	0	22	0	0	0	15
181	2	4	0	6	0	0	0	7
182	8	0	8	12	25	4	4	29
183	5	10	5	19	0	0	0	7
184	3	0	0	26	7	0	0	8
185	2	0	4	16	9	8	12	16
186	6	9	0	25	25	0	2	18
187	2	7	0	13	0	0	0	9
188	NA	NA	NA	NA	NA	NA	NA	NA
189	6	0	0	33	0	0	0	0
190	2	7	0	28	1	0	0	1
191	0	2	8	32	11	5	9	11
192	6	0	0	8	9	2	2	24
193	2	0	0	17	3	8	19	13
194	3	9	12	15	18	0	15	9
195	2	0	4	6	3	0	0	13
196	0	0	13	35	17	0	0	14
197	6	0	0	14	11	0	0	0
198	4	0	3	21	11	2	2	18
199	2	1	0	19	2	0	2	23
200	NA	NA	NA	NA	NA	NA	NA	NA
201	0	8	0	24	10	0	0	10
202	2	0	0	27	0	0	0	7
203	2	0	1	24	20	0	6	22
