INDEX	MACAQUE_COUNT_IN_TA	OTHER_SPIECIES_COUNT_IN_TA	TC_CT_COUNT_IN_TA	THALAM_COUNT_IN_TA	CORTEX_COUNT_IN_TA	INJECT_COUNT_IN_TA	METHOD_COUNT_IN_TA	CONNECT_COUNT_IN_TA	NOT_TT	NOT_MACAQUE_BUT_OTHERS	RELEVANCE_INDEX
242	3.0	0.0	8.0	26.0	13.0	5.0	3.0	11.0			253.97273980419163
243	3.0	15.0	1.0	9.0	4.0	0.0	0.0	16.0			128.60130935558107
244	4.0	0.0	2.0	22.0	31.0	0.0	0.0	10.0			171.686668749106
245	0.0	0.0	0.0	36.0	6.0	6.0	48.0	18.0			207.2832943152591
246	4.0	12.0	0.0	29.0	1.0	11.0	17.0	7.0			185.54191828964494
247	12.0	6.0	0.0	8.0	2.0	0.0	0.0	0.0	Y		7.324842266405373
248	2.0	0.0	2.0	18.0	9.0	0.0	11.0	29.0			205.84702649763773
249	2.0	0.0	0.0	13.0	13.0	17.0	11.0	11.0			175.69116515545994
250	6.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0			73.85328468181498
251	9.0	0.0	0.0	5.0	13.0	0.0	3.0	15.0			118.02250148294408
252	5.0	0.0	0.0	4.0	36.0	0.0	4.0	34.0			126.94438402161956
253	0.0	0.0	0.0	23.0	7.0	0.0	0.0	12.0			115.49804704171319
254											0.0
255	0.0	0.0	0.0	21.0	15.0	0.0	0.0	3.0	Y		10.50019485563557
256											0.0
257	2.0	0.0	4.0	20.0	10.0	0.0	0.0	18.0			187.4175050394464
258	5.0	0.0	0.0	16.0	3.0	3.0	6.0	20.0			160.21742297740798
259	5.0	0.0	0.0	4.0	14.0	0.0	0.0	18.0			92.17938595416824
260											0.0
261	3.0	0.0	3.0	15.0	12.0	0.0	0.0	17.0			173.42642867265894
262	4.0	0.0	0.0	8.0	6.0	4.0	8.0	8.0			143.73234829859905
263											0.0
264	2.0	0.0	4.0	18.0	6.0	2.0	2.0	30.0			215.01628242669634
265	2.0	0.0	0.0	8.0	0.0	0.0	0.0	5.0			78.34127056902659
266	11.0	6.0	0.0	22.0	0.0	0.0	8.0	0.0			123.77025730721205
267	4.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0			19.560115027140732
268	3.0	0.0	2.0	7.0	11.0	0.0	0.0	5.0			133.2041298355403
269	0.0	4.0	2.0	19.0	27.0	0.0	4.0	18.0		Y	18.90847794146261
270	2.0	0.0	0.0	18.0	0.0	1.0	6.0	15.0			142.9500471863285
271	3.0	0.0	0.0	7.0	6.0	0.0	0.0	6.0	Y		8.810616258342504
272	2.0	3.0	0.0	21.0	7.0	0.0	2.0	19.0			139.6028375512592
273	0.0	0.0	2.0	22.0	12.0	0.0	0.0	13.0			161.5471670284134
274	0.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	Y		5.963387661306394
275	0.0	0.0	8.0	8.0	4.0	0.0	6.0	2.0			191.04156221153556
276	4.0	0.0	7.0	11.0	9.0	0.0	0.0	10.0			188.8393956670179
277	3.0	0.0	7.0	25.0	21.0	11.0	7.0	30.0			277.39732085805053
278	0.0	25.0	0.0	25.0	0.0	0.0	0.0	0.0			81.45241345053705
279	4.0	0.0	0.0	6.0	0.0	0.0	4.0	20.0			111.28173635229906
280	2.0	2.0	2.0	13.0	14.0	1.0	2.0	10.0			176.34384609956223
281	8.0	0.0	0.0	8.0	12.0	2.0	6.0	9.0			141.94211015984553
282	6.0	0.0	0.0	2.0	5.0	0.0	0.0	23.0			77.93419361159904
283	2.0	0.0	0.0	13.0	8.0	0.0	6.0	24.0			143.83302805491482
284	0.0	9.0	3.0	24.0	11.0	0.0	0.0	13.0	Y	Y	17.473877661159325
285	6.0	0.0	0.0	6.0	3.0	0.0	0.0	0.0			65.30877627725886
286	0.0	1.0	0.0	24.0	5.0	5.0	14.0	19.0		Y	17.79263634121989
287	6.0	0.0	0.0	6.0	0.0	0.0	8.0	21.0	Y		12.224609766528586
288	6.0	0.0	0.0	12.0	8.0	6.0	6.0	18.0			162.93155108654332
289	4.0	0.0	0.0	21.0	10.0	1.0	5.0	27.0			164.4426362058926
290	2.0	11.0	0.0	21.0	5.0	0.0	12.0	12.0	Y		15.585165405997717
291	9.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0			89.90028086319899
292	0.0	3.0	0.0	17.0	0.0	0.0	9.0	0.0	Y	Y	10.679807034231482
293									Y		0.0
294	2.0	0.0	0.0	4.0	14.0	0.0	0.0	26.0			92.2276289197474
295	4.0	0.0	0.0	22.0	17.0	0.0	0.0	6.0			120.3455052404332
296	2.0	0.0	0.0	2.0	12.0	2.0	6.0	22.0			117.31283272915327
297											0.0
298	2.0	7.0	0.0	22.0	0.0	0.0	0.0	7.0	Y		10.467483225836766
299	6.0	0.0	0.0	13.0	31.0	0.0	0.0	25.0	Y		12.561562887987149
300	0.0	0.0	0.0	16.0	4.0	0.0	0.0	4.0			94.9719022879169
301	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	Y		1.6094379124341005
302	0.0	13.0	0.0	15.0	2.0	0.0	0.0	8.0			96.78002527269729
303	2.0	0.0	0.0	11.0	0.0	0.0	4.0	6.0			111.2163978651052
304	2.0	0.0	0.0	0.0	23.0	2.0	16.0	32.0			109.83272925726942
305	0.0	4.0	0.0	32.0	10.0	2.0	6.0	23.0		Y	17.135747882664415
306	0.0	0.0	4.0	45.0	5.0	0.0	0.0	10.0	Y		19.303130148371537
307	0.0	0.0	0.0	34.0	2.0	0.0	0.0	14.0	Y		12.1457264991598
308	2.0	0.0	0.0	7.0	8.0	0.0	15.0	22.0			141.40899586490576
309	2.0	0.0	0.0	27.0	0.0	2.0	0.0	14.0			126.86479909542385
310											0.0
311	3.0	3.0	0.0	10.0	9.0	5.0	17.0	10.0			163.64390287923567
312	4.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0			72.17092349870892
313	4.0	0.0	0.0	4.0	39.0	4.0	4.0	10.0			130.9424351824289
314											0.0
315	10.0	0.0	0.0	2.0	11.0	2.0	14.0	6.0			122.94529422340199
316	0.0	6.0	0.0	19.0	0.0	0.0	3.0	9.0			118.71357318558859
318	3.0	0.0	0.0	15.0	0.0	9.0	19.0	20.0			174.65324927207854
319	3.0	0.0	0.0	18.0	6.0	0.0	3.0	23.0			142.84695075031485
320	4.0	0.0	0.0	5.0	1.0	4.0	5.0	13.0			125.668256654586
321	3.0	0.0	14.0	28.0	7.0	3.0	16.0	15.0			293.9201143021889
322	7.0	8.0	2.0	4.0	10.0	0.0	0.0	4.0	Y		12.266150255430894
323	0.0	11.0	3.0	7.0	3.0	0.0	0.0	3.0		Y	12.823222840358989
324	2.0	0.0	5.0	20.0	3.0	0.0	0.0	13.0	Y		18.659854625730034
325	6.0	0.0	0.0	30.0	8.0	0.0	2.0	3.0			136.9074816853069
326	2.0	0.0	0.0	4.0	12.0	1.0	4.0	29.0			123.63877035023324
327											0.0
328	12.0	0.0	5.0	17.0	0.0	0.0	0.0	6.0	Y		17.621352099438717
329	2.0	0.0	8.0	35.0	24.0	4.0	12.0	25.0			286.2139819890119
330	4.0	0.0	0.0	6.0	13.0	2.0	14.0	18.0			150.94149563150827
