INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	MACAQUE_COUNT_IN_500	OTHER_SPIECIES_COUNT_IN_500	TC_CT_COUNT_IN_500	THALAM_COUNT_IN_500	CORTEX_COUNT_IN_500	INJECT_COUNT_IN_500	METHOD_COUNT_IN_500	CONNECT_COUNT_IN_500	MACAQUE_COUNT_IN_FULL_TEXT	OTHER_SPIECIES_COUNT_IN_FULL_TEXT	TC_CT_COUNT_IN_FULL_TEXT	THALAM_COUNT_IN_FULL_TEXT	CORTEX_COUNT_IN_FULL_TEXT	INJECT_COUNT_IN_FULL_TEXT	METHOD_COUNT_IN_FULL_TEXT	CONNECT_COUNT_IN_FULL_TEXT	RELEVANCE_INDEX
10456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	85.0	0.0	3.0	1.0	4.0	0.0	1.0	0.0
10457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	93.0	0.0	4.0	5.0	2.0	4.0	61.0	0.0
10458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	1.0	1.0	0.0	5.0	328.0	2.0	13.0	22.0	41.0	21.0	23.0	0.0
10459	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	5.0	1.0	5.0	11.0	0.0	9.0	10.0	2.0	31.0	18.0	60.645769017518255
10460	0.0	0.0	0.0	0.0	7.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	6.0	15.0	13.0	0.0	9.0	49.0	3.0	1.0	31.0	20.126758453675745
10461	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.0	0.0	3.0	3.0	1.0	65.0	0.0	114.0	2.0	0.0	24.0	58.0	73.27123292259293
10462	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	15.0	0.0	0.0	1.0	0.0	1.0	65.0	0.0	49.0	1.0	9.0	6.0	16.0	47.95790545596741
10463	3.0	0.0	0.0	0.0	11.0	0.0	0.0	4.0	1.0	3.0	0.0	0.0	6.0	0.0	1.0	2.0	10.0	8.0	0.0	10.0	226.0	26.0	86.0	66.0	34.33466642230941
10464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	15.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
10465	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	4.0	0.0	6.0	15.0	0.0	0.0	26.0	6.931471805599453
10466	2.0	0.0	0.0	2.0	7.0	4.0	4.0	6.0	1.0	0.0	0.0	1.0	7.0	2.0	2.0	4.0	9.0	15.0	0.0	8.0	44.0	20.0	31.0	96.0	101.36826448674205
10467	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	5.0	11.0	0.0	12.0	10.0	16.479184330021646
